Timestamp,EEG Signal
1.77,NaN
1.788,681
1.803,1021.67
1.821,1022.33
1.838,1022.33
1.854,1022
1.87,1021.33
1.887,1021.33
1.904,1021.67
1.92,1022.33
1.937,1022.33
1.954,1022
1.971,1021.33
1.987,1021.33
2.003,1021.33
2.019,1021.33
2.036,1021.33
2.053,1021.67
2.07,1022
2.086,1022
2.104,1022
2.12,1021.67
2.139,1021.67
2.154,1021.67
2.17,1022
2.189,1022
2.203,1022
2.22,1022
2.237,1022
2.253,1022
2.271,1022
2.287,1022
2.303,1022
2.32,1022.33
2.336,1022.33
2.353,1022.67
2.37,1022
2.387,1021.67
2.403,1021.67
2.42,1022
2.437,1022.67
2.454,1022
2.471,1022
2.487,1021.33
2.504,1021.67
2.52,1021.33
2.537,1022
2.555,1022.33
2.571,1022.67
2.588,1022.33
2.604,1022
2.621,1022
2.639,1022
2.653,1022
2.67,1022
2.688,1022
2.705,1021.67
2.721,1021.67
2.737,1022
2.754,1022.33
2.773,1022.67
2.788,1022.33
2.804,1022.33
2.825,1022
2.845,1022
2.853,1022
2.87,1022
2.886,1022
2.904,1022
2.92,1022.33
2.937,1022.33
2.953,1022
2.971,1022
2.987,1022
3.004,1022.67
3.024,1022
3.039,1022
3.053,1021.33
3.07,1021.67
3.086,1022
3.104,1022.33
3.12,1022.33
3.139,1022
3.153,1022
3.17,1022
3.188,1022.33
3.206,1022
3.22,1022
3.237,1021.67
3.256,1022
3.275,1022.33
3.288,1022.33
3.304,1022
3.32,1021.67
3.337,1022
3.354,681.67
3.371,682
3.387,681
3.404,1022
3.421,1021.67
3.438,681.67
3.455,681.67
3.472,681.33
3.487,1021.67
3.504,1021
3.52,681
3.537,340.67
3.554,340.33
3.57,680.33
3.587,1021
3.604,1021
3.622,680.67
3.637,680.67
3.657,680.67
3.67,1021.67
3.688,1021.67
3.705,681.67
3.72,680.67
3.738,342.33
3.754,683
3.771,683.67
3.788,681.33
3.805,681
3.82,341.33
3.839,682
3.853,682.33
3.873,681.33
3.888,680.67
3.903,340.33
3.92,681
